time,temperature_2m (°C),rain (mm),apparent_temperature (°C),weather_code (wmo code),cloud_cover (%),relative_humidity_2m (%)
2025-10-01T00:00,10.2,0.00,9.1,3,100,89
2025-10-01T01:00,10.7,0.00,9.6,2,69,87
2025-10-01T02:00,10.4,0.00,9.2,3,98,86
2025-10-01T03:00,10.6,0.00,9.5,3,90,85
2025-10-01T04:00,10.4,0.00,9.3,2,73,85
2025-10-01T05:00,9.1,0.00,7.8,1,23,88
2025-10-01T06:00,8.1,0.00,6.6,0,8,89
2025-10-01T07:00,7.4,0.00,5.9,0,4,92
2025-10-01T08:00,8.9,0.00,7.6,1,20,88
2025-10-01T09:00,10.8,0.00,9.7,1,26,78
2025-10-01T10:00,12.6,0.00,11.3,0,12,71
2025-10-01T11:00,14.1,0.00,11.9,0,1,59
2025-10-01T12:00,15.1,0.00,12.7,0,4,52
2025-10-01T13:00,15.6,0.00,13.2,1,33,50
2025-10-01T14:00,15.8,0.00,13.0,1,47,47
2025-10-01T15:00,15.9,0.00,13.0,1,42,43
2025-10-01T16:00,15.3,0.00,12.5,2,73,47
2025-10-01T17:00,14.2,0.00,11.7,1,34,54
2025-10-01T18:00,11.9,0.00,9.6,0,7,64
2025-10-01T19:00,11.0,0.00,8.5,0,2,67
2025-10-01T20:00,10.1,0.00,7.5,0,1,69
2025-10-01T21:00,9.6,0.00,7.0,0,2,71
2025-10-01T22:00,9.2,0.00,6.5,0,2,72
2025-10-01T23:00,8.8,0.00,6.0,0,0,74
2025-10-02T00:00,8.5,0.00,5.6,0,0,75
2025-10-02T01:00,7.6,0.00,4.6,0,0,76
2025-10-02T02:00,7.2,0.00,4.2,0,0,78
2025-10-02T03:00,6.8,0.00,3.9,0,0,80
2025-10-02T04:00,6.5,0.00,3.7,0,0,82
2025-10-02T05:00,6.1,0.00,3.6,0,0,84
2025-10-02T06:00,5.6,0.00,3.2,0,0,85
2025-10-02T07:00,5.1,0.00,2.9,0,0,89
2025-10-02T08:00,7.2,0.00,4.7,0,0,84
2025-10-02T09:00,9.3,0.00,6.8,0,0,77
2025-10-02T10:00,11.0,0.00,8.7,0,0,72
2025-10-02T11:00,12.4,0.00,10.2,0,0,65
2025-10-02T12:00,13.5,0.00,11.3,0,0,59
2025-10-02T13:00,14.4,0.00,12.2,0,8,54
2025-10-02T14:00,15.1,0.00,12.2,2,55,50
2025-10-02T15:00,15.0,0.00,12.0,3,91,50
2025-10-02T16:00,14.6,0.00,11.9,3,84,53
2025-10-02T17:00,13.7,0.00,11.8,0,13,61
2025-10-02T18:00,12.0,0.00,9.6,0,0,64
2025-10-02T19:00,11.2,0.00,8.5,0,0,66
2025-10-02T20:00,10.3,0.00,7.5,0,0,68
2025-10-02T21:00,9.7,0.00,6.8,0,0,70
2025-10-02T22:00,9.2,0.00,6.3,0,0,72
2025-10-02T23:00,8.5,0.00,5.6,0,0,75
2025-10-03T00:00,7.9,0.00,5.0,0,0,77
2025-10-03T01:00,7.3,0.00,4.1,0,0,78
2025-10-03T02:00,6.7,0.00,3.5,0,16,79
2025-10-03T03:00,6.2,0.00,3.0,1,27,81
2025-10-03T04:00,5.8,0.00,2.6,3,100,82
2025-10-03T05:00,5.5,0.00,2.2,3,100,83
2025-10-03T06:00,5.6,0.00,2.1,3,100,82
2025-10-03T07:00,5.8,0.00,2.3,3,100,83
2025-10-03T08:00,7.0,0.00,3.7,3,100,80
2025-10-03T09:00,8.0,0.00,4.9,3,100,79
2025-10-03T10:00,9.3,0.00,6.3,3,100,73
2025-10-03T11:00,10.9,0.00,7.7,3,100,66
2025-10-03T12:00,11.5,0.00,8.6,3,100,66
2025-10-03T13:00,13.8,0.00,11.1,3,100,60
2025-10-03T14:00,13.7,0.00,11.2,3,100,61
2025-10-03T15:00,13.4,0.00,11.8,3,100,66
2025-10-03T16:00,14.3,0.00,12.4,3,100,60
2025-10-03T17:00,13.3,0.00,12.3,3,100,71
2025-10-03T18:00,12.2,0.00,11.0,3,100,75
2025-10-03T19:00,12.4,0.00,10.3,3,100,72
2025-10-03T20:00,11.7,0.00,9.7,3,100,75
2025-10-03T21:00,11.3,0.00,9.5,3,100,77
2025-10-03T22:00,10.9,0.00,9.1,3,100,78
2025-10-03T23:00,10.6,0.00,8.9,3,100,80
2025-10-04T00:00,10.4,0.00,8.6,3,100,81
2025-10-04T01:00,10.6,0.10,8.6,51,100,83
2025-10-04T02:00,10.7,0.30,8.6,51,100,83
2025-10-04T03:00,10.7,0.30,8.3,51,100,85
2025-10-04T04:00,10.7,0.30,8.3,51,100,85
2025-10-04T05:00,10.7,0.20,8.5,51,100,87
2025-10-04T06:00,11.5,0.00,9.3,3,100,87
2025-10-04T07:00,11.9,0.00,9.9,3,100,89
2025-10-04T08:00,13.5,0.00,11.5,3,100,87
2025-10-04T09:00,15.1,1.50,12.4,61,100,83
2025-10-04T10:00,15.9,0.70,13.5,53,100,82
2025-10-04T11:00,17.1,0.00,14.5,3,100,78
2025-10-04T12:00,17.5,0.70,15.1,53,100,80
2025-10-04T13:00,15.2,3.10,13.0,63,100,93
2025-10-04T14:00,13.9,2.40,12.7,61,100,94
2025-10-04T15:00,13.2,0.90,11.1,53,100,88
2025-10-04T16:00,12.3,0.40,10.2,51,71,88
2025-10-04T17:00,11.8,0.40,8.8,51,66,89
2025-10-04T18:00,11.7,0.60,8.4,53,15,80
2025-10-04T19:00,11.3,0.00,7.1,0,5,70
2025-10-04T20:00,10.9,0.00,7.5,0,15,69
2025-10-04T21:00,10.6,0.10,7.0,51,19,70
2025-10-04T22:00,10.4,0.00,6.3,2,53,73
2025-10-04T23:00,10.1,0.00,5.8,2,74,77
2025-10-05T00:00,9.8,0.00,5.8,2,61,79
2025-10-05T01:00,9.7,0.10,6.0,51,79,82
2025-10-05T02:00,9.6,0.10,5.9,51,99,81
2025-10-05T03:00,9.7,0.00,6.2,3,80,80
2025-10-05T04:00,9.5,0.00,6.2,3,93,81
2025-10-05T05:00,9.5,0.10,6.2,51,100,82
2025-10-05T06:00,9.8,0.20,6.5,51,100,81
2025-10-05T07:00,9.3,0.30,6.2,51,93,90
2025-10-05T08:00,9.9,0.00,6.5,3,91,86
2025-10-05T09:00,10.3,0.10,7.0,51,77,86
2025-10-05T10:00,11.1,0.10,8.1,51,100,84
2025-10-05T11:00,11.5,0.30,8.4,51,48,86
2025-10-05T12:00,13.0,0.10,9.3,51,31,71
