time,temperature_2m (°C),rain (mm),apparent_temperature (°C),weather_code (wmo code),cloud_cover (%),relative_humidity_2m (%),weather_mood
2025-10-01T00:00,10.2,0.0,9.1,3,100.0,89.0,-5.9
2025-10-01T01:00,10.7,0.0,9.6,2,69.0,87.0,-3.79
2025-10-01T02:00,10.4,0.0,9.2,3,98.0,86.0,-5.68
2025-10-01T03:00,10.6,0.0,9.5,3,90.0,85.0,-5.1
2025-10-01T04:00,10.4,0.0,9.3,2,73.0,85.0,-4.18
2025-10-01T05:00,9.1,0.0,7.8,1,23.0,88.0,-1.3800000000000008
2025-10-01T06:00,8.1,0.0,6.6,0,8.0,89.0,-0.47999999999999865
2025-10-01T07:00,7.4,0.0,5.9,0,4.0,92.0,-0.2400000000000002
2025-10-01T08:00,8.9,0.0,7.6,1,20.0,88.0,-1.1999999999999993
2025-10-01T09:00,10.8,0.0,9.7,1,26.0,78.0,-1.1599999999999984
2025-10-01T10:00,12.6,0.0,11.3,0,12.0,71.0,0.5800000000000001
2025-10-01T11:00,14.1,0.0,11.9,0,1.0,59.0,1.9899999999999984
2025-10-01T12:00,15.1,0.0,12.7,0,4.0,52.0,2.3099999999999987
2025-10-01T13:00,15.6,0.0,13.2,1,33.0,50.0,0.8199999999999985
2025-10-01T14:00,15.8,0.0,13.0,1,47.0,47.0,0.08000000000000007
2025-10-01T15:00,15.9,0.0,13.0,1,42.0,43.0,0.4300000000000015
2025-10-01T16:00,15.3,0.0,12.5,2,73.0,47.0,-1.7299999999999986
2025-10-01T17:00,14.2,0.0,11.7,1,34.0,54.0,0.05999999999999872
2025-10-01T18:00,11.9,0.0,9.6,0,7.0,64.0,0.5299999999999994
2025-10-01T19:00,11.0,0.0,8.5,0,2.0,67.0,0.3800000000000008
2025-10-01T20:00,10.1,0.0,7.5,0,1.0,69.0,-0.009999999999999787
2025-10-01T21:00,9.6,0.0,7.0,0,2.0,71.0,-0.120000000000001
2025-10-01T22:00,9.2,0.0,6.5,0,2.0,72.0,-0.120000000000001
2025-10-01T23:00,8.8,0.0,6.0,0,0.0,74.0,0.0
2025-10-02T00:00,8.5,0.0,5.6,0,0.0,75.0,0.0
2025-10-02T01:00,7.6,0.0,4.6,0,0.0,76.0,0.0
2025-10-02T02:00,7.2,0.0,4.2,0,0.0,78.0,0.0
2025-10-02T03:00,6.8,0.0,3.9,0,0.0,80.0,0.0
2025-10-02T04:00,6.5,0.0,3.7,0,0.0,82.0,0.0
2025-10-02T05:00,6.1,0.0,3.6,0,0.0,84.0,0.0
2025-10-02T06:00,5.6,0.0,3.2,0,0.0,85.0,0.0
2025-10-02T07:00,5.1,0.0,2.9,0,0.0,89.0,0.0
2025-10-02T08:00,7.2,0.0,4.7,0,0.0,84.0,0.0
2025-10-02T09:00,9.3,0.0,6.8,0,0.0,77.0,0.0
2025-10-02T10:00,11.0,0.0,8.7,0,0.0,72.0,0.5
2025-10-02T11:00,12.4,0.0,10.2,0,0.0,65.0,1.200000000000001
2025-10-02T12:00,13.5,0.0,11.3,0,0.0,59.0,1.7499999999999982
2025-10-02T13:00,14.4,0.0,12.2,0,8.0,54.0,1.7200000000000024
2025-10-02T14:00,15.1,0.0,12.2,2,55.0,50.0,-0.75
2025-10-02T15:00,15.0,0.0,12.0,3,91.0,50.0,-2.960000000000001
2025-10-02T16:00,14.6,0.0,11.9,3,84.0,53.0,-2.74
2025-10-02T17:00,13.7,0.0,11.8,0,13.0,61.0,1.0700000000000003
2025-10-02T18:00,12.0,0.0,9.6,0,0.0,64.0,1.0
2025-10-02T19:00,11.2,0.0,8.5,0,0.0,66.0,0.6000000000000014
2025-10-02T20:00,10.3,0.0,7.5,0,0.0,68.0,0.15000000000000213
2025-10-02T21:00,9.7,0.0,6.8,0,0.0,70.0,0.0
2025-10-02T22:00,9.2,0.0,6.3,0,0.0,72.0,0.0
2025-10-02T23:00,8.5,0.0,5.6,0,0.0,75.0,0.0
2025-10-03T00:00,7.9,0.0,5.0,0,0.0,77.0,0.0
2025-10-03T01:00,7.3,0.0,4.1,0,0.0,78.0,0.0
2025-10-03T02:00,6.7,0.0,3.5,0,16.0,79.0,-0.9599999999999991
2025-10-03T03:00,6.2,0.0,3.0,1,27.0,81.0,-1.6199999999999992
2025-10-03T04:00,5.8,0.0,2.6,3,100.0,82.0,-6.0
2025-10-03T05:00,5.5,0.0,2.2,3,100.0,83.0,-6.0
2025-10-03T06:00,5.6,0.0,2.1,3,100.0,82.0,-6.0
2025-10-03T07:00,5.8,0.0,2.3,3,100.0,83.0,-6.0
2025-10-03T08:00,7.0,0.0,3.7,3,100.0,80.0,-6.0
2025-10-03T09:00,8.0,0.0,4.9,3,100.0,79.0,-6.0
2025-10-03T10:00,9.3,0.0,6.3,3,100.0,73.0,-6.0
2025-10-03T11:00,10.9,0.0,7.7,3,100.0,66.0,-5.549999999999999
2025-10-03T12:00,11.5,0.0,8.6,3,100.0,66.0,-5.25
2025-10-03T13:00,13.8,0.0,11.1,3,100.0,60.0,-4.1
2025-10-03T14:00,13.7,0.0,11.2,3,100.0,61.0,-4.15
2025-10-03T15:00,13.4,0.0,11.8,3,100.0,66.0,-4.299999999999999
2025-10-03T16:00,14.3,0.0,12.4,3,100.0,60.0,-3.8499999999999996
2025-10-03T17:00,13.3,0.0,12.3,3,100.0,71.0,-4.35
2025-10-03T18:00,12.2,0.0,11.0,3,100.0,75.0,-4.9
2025-10-03T19:00,12.4,0.0,10.3,3,100.0,72.0,-4.8
2025-10-03T20:00,11.7,0.0,9.7,3,100.0,75.0,-5.15
2025-10-03T21:00,11.3,0.0,9.5,3,100.0,77.0,-5.35
2025-10-03T22:00,10.9,0.0,9.1,3,100.0,78.0,-5.549999999999999
